sku,selling_price,num_sales,revenue
142d63107737a448dc2dfe2dcd0154b8,1,123,123
142d63107737a448dc2dfe2dcd0154b8,2,64,128
142d63107737a448dc2dfe2dcd0154b8,3,93,282
142d63107737a448dc2dfe2dcd0154b8,4,192,770
142d63107737a448dc2dfe2dcd0154b8,5,1790,8956
142d63107737a448dc2dfe2dcd0154b8,6,163278,979676
142d63107737a448dc2dfe2dcd0154b8,7,19,140
142d63107737a448dc2dfe2dcd0154b8,8,38,316
142d63107737a448dc2dfe2dcd0154b8,9,62,578
142d63107737a448dc2dfe2dcd0154b8,10,265,2680
142d63107737a448dc2dfe2dcd0154b8,11,1422,16299
142d63107737a448dc2dfe2dcd0154b8,12,17829,221851
142d63107737a448dc2dfe2dcd0154b8,13,101283,1365970
142d63107737a448dc2dfe2dcd0154b8,14,9,132
142d63107737a448dc2dfe2dcd0154b8,15,129,1978
142d63107737a448dc2dfe2dcd0154b8,16,54,887
142d63107737a448dc2dfe2dcd0154b8,17,871,15191
142d63107737a448dc2dfe2dcd0154b8,18,2049,37642
142d63107737a448dc2dfe2dcd0154b8,19,7819,151236
142d63107737a448dc2dfe2dcd0154b8,20,47353,970880
142d63107737a448dc2dfe2dcd0154b8,21,12,255
142d63107737a448dc2dfe2dcd0154b8,22,36,805
142d63107737a448dc2dfe2dcd0154b8,23,520,12116
142d63107737a448dc2dfe2dcd0154b8,24,684,16619
142d63107737a448dc2dfe2dcd0154b8,25,4660,119393
142d63107737a448dc2dfe2dcd0154b8,26,757,20024
142d63107737a448dc2dfe2dcd0154b8,27,27892,764183
142d63107737a448dc2dfe2dcd0154b8,28,45,1296
142d63107737a448dc2dfe2dcd0154b8,29,260,7571
142d63107737a448dc2dfe2dcd0154b8,30,461,13963
142d63107737a448dc2dfe2dcd0154b8,31,331,10390
142d63107737a448dc2dfe2dcd0154b8,32,1755,56796
142d63107737a448dc2dfe2dcd0154b8,33,6412,216518
142d63107737a448dc2dfe2dcd0154b8,34,7961,276938
142d63107737a448dc2dfe2dcd0154b8,35,24,850
142d63107737a448dc2dfe2dcd0154b8,36,138,5017
142d63107737a448dc2dfe2dcd0154b8,37,252,9489
142d63107737a448dc2dfe2dcd0154b8,38,978,37934
142d63107737a448dc2dfe2dcd0154b8,39,204,8104
142d63107737a448dc2dfe2dcd0154b8,40,3463,140796
142d63107737a448dc2dfe2dcd0154b8,41,4675,195536
142d63107737a448dc2dfe2dcd0154b8,42,91,3864
142d63107737a448dc2dfe2dcd0154b8,43,49,2143
142d63107737a448dc2dfe2dcd0154b8,45,343,15565
142d63107737a448dc2dfe2dcd0154b8,46,143,6638
142d63107737a448dc2dfe2dcd0154b8,47,1361,64551
142d63107737a448dc2dfe2dcd0154b8,48,1672,81651
142d63107737a448dc2dfe2dcd0154b8,50,32,1604
142d63107737a448dc2dfe2dcd0154b8,51,202,10468
142d63107737a448dc2dfe2dcd0154b8,52,8,423
142d63107737a448dc2dfe2dcd0154b8,53,81,4312
142d63107737a448dc2dfe2dcd0154b8,54,810,43947
142d63107737a448dc2dfe2dcd0154b8,55,1192,66594
142d63107737a448dc2dfe2dcd0154b8,56,20,1133
142d63107737a448dc2dfe2dcd0154b8,58,46,2681
142d63107737a448dc2dfe2dcd0154b8,59,64,3818
142d63107737a448dc2dfe2dcd0154b8,60,98,5945
142d63107737a448dc2dfe2dcd0154b8,61,459,28004
142d63107737a448dc2dfe2dcd0154b8,62,482,30299
142d63107737a448dc2dfe2dcd0154b8,64,160,10380
142d63107737a448dc2dfe2dcd0154b8,65,10,650
142d63107737a448dc2dfe2dcd0154b8,66,40,2664
142d63107737a448dc2dfe2dcd0154b8,67,581,39422
142d63107737a448dc2dfe2dcd0154b8,68,10,689
142d63107737a448dc2dfe2dcd0154b8,69,820,57290
142d63107737a448dc2dfe2dcd0154b8,70,22,1548
142d63107737a448dc2dfe2dcd0154b8,71,11,785
142d63107737a448dc2dfe2dcd0154b8,72,24,1749
142d63107737a448dc2dfe2dcd0154b8,73,22,1608
142d63107737a448dc2dfe2dcd0154b8,74,231,17240
142d63107737a448dc2dfe2dcd0154b8,75,12,904
142d63107737a448dc2dfe2dcd0154b8,76,220,16885
142d63107737a448dc2dfe2dcd0154b8,77,36,2794
142d63107737a448dc2dfe2dcd0154b8,80,12,968
142d63107737a448dc2dfe2dcd0154b8,81,98,7977
142d63107737a448dc2dfe2dcd0154b8,83,204,17100
142d63107737a448dc2dfe2dcd0154b8,85,13,1106
142d63107737a448dc2dfe2dcd0154b8,86,26,2246
142d63107737a448dc2dfe2dcd0154b8,88,91,8027
142d63107737a448dc2dfe2dcd0154b8,90,172,15609
142d63107737a448dc2dfe2dcd0154b8,93,14,1303
142d63107737a448dc2dfe2dcd0154b8,94,15,1413
142d63107737a448dc2dfe2dcd0154b8,95,56,5320
142d63107737a448dc2dfe2dcd0154b8,97,115,11228
142d63107737a448dc2dfe2dcd0154b8,101,75,7623
142d63107737a448dc2dfe2dcd0154b8,104,60,6288
142d63107737a448dc2dfe2dcd0154b8,106,17,1814
142d63107737a448dc2dfe2dcd0154b8,108,16,1735
142d63107737a448dc2dfe2dcd0154b8,111,48,5362
142d63107737a448dc2dfe2dcd0154b8,115,34,3924
142d63107737a448dc2dfe2dcd0154b8,118,68,8080
142d63107737a448dc2dfe2dcd0154b8,122,18,2199
142d63107737a448dc2dfe2dcd0154b8,125,18,2264
142d63107737a448dc2dfe2dcd0154b8,129,39,5047
142d63107737a448dc2dfe2dcd0154b8,132,38,5046
142d63107737a448dc2dfe2dcd0154b8,136,21,2862
142d63107737a448dc2dfe2dcd0154b8,139,40,5592
142d63107737a448dc2dfe2dcd0154b8,142,22,3141
142d63107737a448dc2dfe2dcd0154b8,149,22,3286
142d63107737a448dc2dfe2dcd0154b8,153,22,3383
142d63107737a448dc2dfe2dcd0154b8,166,25,4156
142d63107737a448dc2dfe2dcd0154b8,174,50,8736
142d63107737a448dc2dfe2dcd0154b8,209,30,6291
142d63107737a448dc2dfe2dcd0154b8,216,31,6717
